Decay (d)	T_eff	L/C amp (mag)
158.731566	4937	0.016635
170.500240	4194	0.011018
9.239126	5768	0.001041
32.357920	5198	0.003422
197.425922	3798	0.005986
32.394483	5437	0.001363
18.531401	5655	0.002249
20.199061	5990	0.002094
63.532543	5003	0.011768
84.846517	5119	0.010130
23.891503	5805	0.001083
14.831384	5672	0.000912
34.566177	6159	0.000485
38.061795	4088	0.002478
69.166527	4818	0.007449
138.523905	4673	0.013734
424.385587	3748	0.006060
26.225898	6046	0.000268
33.100076	4196	0.001339
107.913002	4588	0.011291
91.084222	4911	0.009519
129.425215	4692	0.006913
32.036915	5626	0.001670
227.479214	4125	0.005602
15.924011	5931	0.000907
173.389066	4744	0.015420
13.885092	5611	0.002069
29.311267	5615	0.003912
31.014370	5384	0.002998
70.685058	4825	0.012780
154.571952	4362	0.006931
83.769982	3683	0.001614
30.603316	5859	0.003809
210.752771	5112	0.013572
14.817746	3887	0.002022
113.449553	3667	0.003182
159.089202	4828	0.012233
109.569482	4972	0.005907
21.252017	5456	0.005009
48.687226	5596	0.001889
60.375400	3797	0.003043
27.696543	5794	0.004263
86.074968	5256	0.008912
104.812086	4984	0.006163
28.015085	5744	0.002030
357.044059	4429	0.011878
86.943882	6042	0.001920
65.910886	5213	0.003972
119.679398	6064	0.002104
16.331093	5556	0.002028
28.251869	5795	0.001372
31.215241	4033	0.004382
10.602530	5674	0.000653
15.425365	5686	0.001170
143.552761	4823	0.013820
22.936213	5526	0.001839
30.297720	5504	0.003404
147.500162	5070	0.011158
23.643168	5847	0.001781
32.524032	5631	0.004868
17.601094	5033	0.001637
15.256280	5782	0.001487
21.524377	5805	0.002116
174.129955	4827	0.013854
267.040910	3550	0.008326
39.185176	5444	0.006342
13.386017	5541	0.001253
66.508009	5246	0.007238
43.215886	4977	0.003563
152.602615	4941	0.005764
248.480848	5078	0.012072
604.299612	4338	0.025239
254.628187	5125	0.012753
135.374522	5022	0.011705
150.075600	4930	0.015346
28.418985	3994	0.001871
45.970780	5255	0.004410
130.865360	4364	0.008072
98.891806	5295	0.009172
64.629393	5578	0.007736
26.260650	5887	0.000828
36.140671	5074	0.004498
72.078696	5332	0.009150
87.286103	5414	0.006491
22.755326	5443	0.000668
29.759735	5096	0.002782
48.005613	4990	0.004044
106.529893	4200	0.009085
128.333935	5575	0.009879
44.107296	5235	0.006516
18.228073	5496	0.002605
37.783745	3666	0.002258
35.535622	3672	0.003038
37.094183	5688	0.003925
15.366892	5783	0.002561
128.006274	4304	0.007354
14.446049	5736	0.001287
35.697313	4335	0.001939
57.723167	5432	0.005900
44.575771	4661	0.006786
32.496297	5372	0.003318
18.688892	5702	0.002214
24.749626	5549	0.002277
28.087562	5593	0.003252
26.826097	5195	0.004273
17.023079	5057	0.002142
185.782703	4704	0.007112
66.884147	5304	0.009930
55.013636	5190	0.009864
32.363559	5557	0.002147
13.194217	5016	0.000720
65.007587	5521	0.003014
66.336997	3670	0.002328
122.178083	5516	0.007901
149.497081	4300	0.006830
29.434389	5410	0.001206
93.398652	5592	0.003209
24.144776	5543	0.003338
47.001059	5502	0.006638
80.294878	4608	0.007711
57.261391	4142	0.003809
280.600508	3522	0.008112
93.147729	5088	0.007950
198.724014	3549	0.010530
39.349760	5366	0.004490
15.127071	5871	0.000923
8.410289	5831	0.001978
15.010174	5469	0.001172
43.346924	5295	0.002461
129.608363	3671	0.006803
114.730531	4978	0.005206
40.602664	4045	0.005913
103.279660	5034	0.008034
26.291237	5811	0.001834
108.802186	4085	0.004176
27.662743	5555	0.003512
28.685679	5591	0.001232
384.889547	3808	0.008904
18.040005	5843	0.001964
22.152811	5656	0.001960
28.976073	5183	0.011687
31.969945	4220	0.005239
268.234333	4418	0.011959
70.386929	3644	0.005881
54.869984	5389	0.005866
41.359033	3940	0.003098
119.109358	4556	0.015730
53.392784	4103	0.002120
